0.619699,0.519309,0.273171,0.122099,0.172915,0.317096,0.556542,0.562403,0.213493,0.08079,0.061797,0.029987,0.020785,0.009464,0.002771,0.004486
0.319301,0.985416,0.487797,0.161959,0.043457,0.199983,0.51032,0.645337,0.461914,0.127765,0.05226,0.02669,0.013276,0.010203,0.003921,0.00339
0.177181,0.519932,1.52392,0.402288,0.059383,0.039347,0.198347,0.482,0.554877,0.213346,0.07943,0.024422,0.012561,0.012496,0.00828,0.003763
0.085271,0.163466,0.458029,1.290057,0.19609,0.048415,0.049507,0.244721,0.439034,0.36974,0.186676,0.058342,0.016116,0.015776,0.005813,0.002674
0.147842,0.070406,0.084661,0.357683,1.208625,0.208847,0.05697,0.027084,0.136703,0.319342,0.190628,0.108003,0.019465,0.005588,0.004129,0.003219
0.39766,0.178023,0.043948,0.0829,0.231941,0.992952,0.22154,0.030563,0.014188,0.070238,0.159581,0.116132,0.043054,0.008038,0.001035,0.004178
0.482799,0.547389,0.270238,0.053308,0.063373,0.197624,0.880607,0.191623,0.083306,0.017345,0.031822,0.050587,0.04698,0.007488,0.003611,0.002553
0.453281,0.742789,0.601557,0.233327,0.030012,0.0321,0.145678,0.917033,0.176858,0.037459,0.022987,0.016383,0.029149,0.016191,0.00615,0.001933
0.212172,0.500954,0.651967,0.44861,0.103033,0.026289,0.089226,0.186577,0.7325,0.120203,0.036477,0.006614,0.023745,0.025323,0.011007,0.00493
0.136259,0.27871,0.453793,0.618342,0.338379,0.085128,0.030916,0.093554,0.165242,0.757664,0.142921,0.033596,0.014121,0.009896,0.009165,0.01458
0.19468,0.178425,0.332587,0.412934,0.356065,0.222836,0.088399,0.053726,0.097245,0.178225,0.732492,0.161746,0.032856,0.007849,0.008561,0.017963
0.291725,0.296161,0.222646,0.33221,0.30779,0.367346,0.249909,0.08112,0.042157,0.132227,0.24003,0.79826,0.165735,0.038899,0.00605,0.013891
0.311345,0.288344,0.20589,0.184573,0.138437,0.194156,0.249503,0.179676,0.10188,0.048114,0.098838,0.207235,0.664002,0.103621,0.021957,0.003799
0.213625,0.322172,0.297049,0.180858,0.117946,0.110641,0.180064,0.240919,0.255591,0.06754,0.05972,0.090417,0.144707,0.600705,0.08574,0.009134
0.087535,0.280315,0.256362,0.212743,0.042,0.077569,0.069271,0.156575,0.258791,0.150311,0.083949,0.037344,0.101479,0.134146,0.401519,0.092435
0.178671,0.22724,0.369939,0.286083,0.078802,0.068464,0.086063,0.172616,0.222537,0.262969,0.252851,0.088714,0.035285,0.066994,0.115221,0.301984