"","state","statename","DateEmergDec","DateSchoolClose","DateRestaurantOtherRestrict","DateNEBusinessClose","DateStayAtHome","DateFirstCase","DateFirstDeath","DateFirstAnnounce","DateReOpen","DateReOpenPhase2","interval_case1_to_school_close","duration_till_school_close","interval_case1_to_restaurant_close","duration_till_restaurant_close","duration_till_first_close","full_duration_till_first_reopen","full_duration_till_second_reopen","duration_till_first_reopen","duration_till_second_reopen"
"1","AL","Alabama","13-Mar-20","19-Mar-20","19-Mar-20",NA,"4-Apr-20","13-Mar-20","25-Mar-20","28-Apr-20","30-Apr-20","11-May-20",2020-01-20 UTC--2020-03-19 UTC,59,2020-01-20 UTC--2020-03-19 UTC,59,59,101,112,42,53
"2","AK","Alaska","11-Mar-20","16-Mar-20","17-Mar-20","28-Mar-20","28-Mar-20","12-Mar-20","27-Mar-20","21-Apr-20","24-Apr-20","8-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,95,109,39,53
"3","AZ","Arizona","11-Mar-20","16-Mar-20","31-Mar-20",NA,"31-Mar-20","26-Jan-20","20-Mar-20","29-Apr-20","8-May-20","11-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-31 UTC,71,56,109,112,53,56
"4","AR","Arkansas","11-Mar-20","17-Mar-20","17-Mar-20",NA,NA,"11-Mar-20","24-Mar-20","28-Apr-20","4-May-20","15-Jun-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-17 UTC,57,57,105,147,48,90
"5","CA","California","4-Mar-20","19-Mar-20","16-Mar-20","19-Mar-20","19-Mar-20","26-Jan-20","4-Mar-20","28-Apr-20","8-May-20","18-May-20",2020-01-20 UTC--2020-03-19 UTC,59,2020-01-20 UTC--2020-03-16 UTC,56,56,109,119,53,63
"6","CO","Colorado","11-Mar-20","23-Mar-20","15-Mar-20","26-Mar-20","26-Mar-20","5-Mar-20","12-Mar-20","21-Apr-20","1-May-20","27-May-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-15 UTC,55,55,102,128,47,73
"7","CT","Connecticut","10-Mar-20","17-Mar-20","16-Mar-20","23-Mar-20","23-Mar-20","8-Mar-20","18-Mar-20","9-May-20","20-May-20","17-Jun-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-16 UTC,56,56,121,149,65,93
"8","DE","Delaware","13-Mar-20","16-Mar-20","16-Mar-20","24-Mar-20","24-Mar-20","11-Mar-20","26-Mar-20","15-May-20","1-Jun-20","15-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,133,147,77,91
"9","DC","District of Columbia","11-Mar-20","16-Mar-20","16-Mar-20","25-Mar-20","1-Apr-20","7-Mar-20","21-Mar-20","27-May-20","29-May-20","22-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,130,154,74,98
"10","FL","Florida","9-Mar-20","16-Mar-20","17-Mar-20",NA,"3-Apr-20","2-Mar-20","6-Mar-20","29-Apr-20","4-May-20","5-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,105,137,49,81
"11","GA","Georgia","14-Mar-20","18-Mar-20","24-Mar-20",NA,"3-Apr-20","2-Mar-20","12-Mar-20","20-Apr-20","24-Apr-20","28-May-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-24 UTC,64,58,95,129,37,71
"12","HI","Hawaii","4-Mar-20","23-Mar-20","17-Mar-20","25-Mar-20","25-Mar-20","6-Mar-20","31-Mar-20","5-May-20","7-May-20","22-May-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-17 UTC,57,57,108,123,51,66
"13","ID","Idaho","13-Mar-20","23-Mar-20","25-Mar-20","25-Mar-20","25-Mar-20","13-Mar-20","26-Mar-20","23-Apr-20","1-May-20","16-May-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-25 UTC,65,63,102,117,39,54
"14","IL","Illinois","9-Mar-20","17-Mar-20","16-Mar-20","21-Mar-20","21-Mar-20","24-Jan-20","17-Mar-20","5-May-20","1-May-20","29-May-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-16 UTC,56,56,102,130,46,74
"15","IN","Indiana","6-Mar-20","19-Mar-20","16-Mar-20","25-Mar-20","25-Mar-20","6-Mar-20","16-Mar-20","1-May-20","4-May-20","12-Jun-20",2020-01-20 UTC--2020-03-19 UTC,59,2020-01-20 UTC--2020-03-16 UTC,56,56,105,144,49,88
"16","IA","Iowa","9-Mar-20","3-Apr-20","17-Mar-20",NA,NA,"8-Mar-20","24-Mar-20","27-Apr-20","1-May-20","15-May-20",2020-01-20 UTC--2020-04-03 UTC,74,2020-01-20 UTC--2020-03-17 UTC,57,57,102,116,45,59
"17","KS","Kansas","12-Mar-20","18-Mar-20","30-Mar-20",NA,"30-Mar-20","7-Mar-20","12-Mar-20","30-Apr-20","4-May-20","22-May-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-30 UTC,70,58,105,123,47,65
"18","KY","Kentucky","6-Mar-20","16-Mar-20","16-Mar-20","26-Mar-20","26-Mar-20","6-Mar-20","16-Mar-20","29-Apr-20","11-May-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,112,133,56,77
"19","LA","Louisiana","11-Mar-20","16-Mar-20","17-Mar-20","23-Mar-20","23-Mar-20","9-Mar-20","14-Mar-20","11-May-20","15-May-20","5-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,116,137,60,81
"20","ME","Maine","15-Mar-20","16-Mar-20","18-Mar-20","25-Mar-20","2-Apr-20","12-Mar-20","27-Mar-20","28-Apr-20","1-May-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-18 UTC,58,56,102,133,46,77
"21","MD","Maryland","5-Mar-20","16-Mar-20","16-Mar-20","23-Mar-20","30-Mar-20","5-Mar-20","18-Mar-20","13-May-20","15-May-20","5-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,116,137,60,81
"22","MA","Massachusetts","10-Mar-20","17-Mar-20","17-Mar-20","24-Mar-20","24-Mar-20","1-Feb-20","20-Mar-20","11-May-20","18-May-20","8-Jun-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-17 UTC,57,57,119,140,62,83
"23","MI","Michigan","10-Mar-20","16-Mar-20","16-Mar-20","23-Mar-20","24-Mar-20","10-Mar-20","18-Mar-20","7-May-20","7-May-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,108,133,52,77
"24","MN","Minnesota","13-Mar-20","18-Mar-20","17-Mar-20",NA,"28-Mar-20","6-Mar-20","21-Mar-20","23-Apr-20","27-Apr-20","1-Jun-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-17 UTC,57,57,98,133,41,76
"25","MS","Mississippi","14-Mar-20","20-Mar-20","24-Mar-20","3-Apr-20","3-Apr-20","11-Mar-20","19-Mar-20","24-Apr-20","27-Apr-20","1-Jun-20",2020-01-20 UTC--2020-03-20 UTC,60,2020-01-20 UTC--2020-03-24 UTC,64,60,98,133,38,73
"26","MO","Missouri","13-Mar-20","23-Mar-20","23-Mar-20",NA,"6-Apr-20","8-Mar-20","18-Mar-20","27-Apr-20","4-May-20","16-Jun-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-23 UTC,63,63,105,148,42,85
"27","MT","Montana","12-Mar-20","16-Mar-20","20-Mar-20","28-Mar-20","28-Mar-20","13-Mar-20","27-Mar-20","22-Apr-20","26-Apr-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-20 UTC,60,56,97,133,41,77
"28","NE","Nebraska","13-Mar-20","3-Apr-20","3-Apr-20",NA,NA,"6-Mar-20","27-Mar-20","24-Apr-20","4-May-20","1-Jun-20",2020-01-20 UTC--2020-04-03 UTC,74,2020-01-20 UTC--2020-04-03 UTC,74,74,105,133,31,59
"29","NV","Nevada","12-Mar-20","16-Mar-20","19-Mar-20",NA,"31-Mar-20","5-Mar-20","16-Mar-20","30-Apr-20","9-May-20","29-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-19 UTC,59,56,110,130,54,74
"30","NH","New Hampshire","13-Mar-20","16-Mar-20","16-Mar-20","28-Mar-20","28-Mar-20","2-Mar-20","23-Mar-20","1-May-20","4-May-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,105,133,49,77
"31","NJ","New Jersey","9-Mar-20","18-Mar-20","16-Mar-20","21-Mar-20","21-Mar-20","4-Mar-20","10-Mar-20","27-Apr-20","2-May-20","15-Jun-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-16 UTC,56,56,103,147,47,91
"32","NM","New Mexico","11-Mar-20","16-Mar-20","16-Mar-20","24-Mar-20","24-Mar-20","11-Mar-20","25-Mar-20","30-Apr-20","1-May-20","16-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,102,117,46,61
"33","NY","New York","7-Mar-20","18-Mar-20","16-Mar-20","22-Mar-20","22-Mar-20","1-Mar-20","14-Mar-20","4-May-20","15-May-20","3-Jun-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-16 UTC,56,56,116,135,60,79
"34","NC","North Carolina","10-Mar-20","16-Mar-20","17-Mar-20","30-Mar-20","30-Mar-20","3-Mar-20","25-Mar-20","5-May-20","8-May-20","22-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,109,123,53,67
"35","ND","North Dakota","13-Mar-20","16-Mar-20","20-Mar-20",NA,NA,"11-Mar-20","27-Mar-20","28-Apr-20","1-May-20","29-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-20 UTC,60,56,102,130,46,74
"36","OH","Ohio","9-Mar-20","17-Mar-20","15-Mar-20","24-Mar-20","24-Mar-20","9-Mar-20","20-Mar-20","27-Apr-20","1-May-20","26-May-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-15 UTC,55,55,102,127,47,72
"37","OK","Oklahoma","15-Mar-20","17-Mar-20","1-Apr-20","1-Apr-20",NA,"6-Mar-20","19-Mar-20","22-Apr-20","24-Apr-20","15-May-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-04-01 UTC,72,57,95,116,38,59
"38","OR","Oregon","8-Mar-20","16-Mar-20","17-Mar-20",NA,"23-Mar-20","28-Feb-20","14-Mar-20","6-May-20","15-May-20","4-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,116,136,60,80
"39","PA","Pennsylvania","6-Mar-20","16-Mar-20","17-Mar-20","23-Mar-20","1-Apr-20","6-Mar-20","18-Mar-20","4-May-20","8-May-20","29-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,109,130,53,74
"40","RI","Rhode Island","9-Mar-20","16-Mar-20","17-Mar-20",NA,"28-Mar-20","1-Mar-20","1-Apr-20","27-Apr-20","9-May-20","1-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,110,133,54,77
"41","SC","South Carolina","13-Mar-20","16-Mar-20","18-Mar-20",NA,"7-Apr-20","7-Mar-20","16-Mar-20","20-Apr-20","20-Apr-20","18-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-18 UTC,58,56,91,119,35,63
"42","SD","South Dakota","13-Mar-20","16-Mar-20",NA,NA,NA,"10-Mar-20","10-Mar-20","28-Apr-20","1-May-20",NA,2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--NA,NA,56,102,NA,46,NA
"43","TN","Tennessee","12-Mar-20","20-Mar-20","23-Mar-20","1-Apr-20","1-Apr-20","5-Mar-20","21-Mar-20","20-Apr-20","27-Apr-20","22-May-20",2020-01-20 UTC--2020-03-20 UTC,60,2020-01-20 UTC--2020-03-23 UTC,63,60,98,123,38,63
"44","TX","Texas","13-Mar-20","23-Mar-20","21-Mar-20",NA,"2-Apr-20","13-Feb-20","16-Mar-20","27-Apr-20","1-May-20","18-May-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-21 UTC,61,61,102,119,41,58
"45","UT","Utah","6-Mar-20","16-Mar-20","19-Mar-20",NA,"27-Mar-20","6-Mar-20","22-Mar-20","17-Apr-20","1-May-20","16-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-19 UTC,59,56,102,117,46,61
"46","VT","Vermont","13-Mar-20","18-Mar-20","17-Mar-20","25-Mar-20","24-Mar-20","7-Mar-20","19-Mar-20","17-Apr-20","27-Apr-20","18-May-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-17 UTC,57,57,98,119,41,62
"47","VA","Virginia","12-Mar-20","16-Mar-20","17-Mar-20",NA,"30-Mar-20","7-Mar-20","14-Mar-20","24-Apr-20","15-May-20","5-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,116,137,60,81
"48","WA","Washington","29-Feb-20","17-Mar-20","16-Mar-20","25-Mar-20","23-Mar-20","21-Jan-20","29-Feb-20","1-May-20","5-May-20","11-May-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-16 UTC,56,56,106,112,50,56
"49","WV","West Virginia","16-Mar-20","16-Mar-20","18-Mar-20","24-Mar-20","24-Mar-20","17-Mar-20","29-Mar-20","27-Apr-20","4-May-20","21-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-18 UTC,58,56,105,122,49,66
"50","WI","Wisconsin","12-Mar-20","18-Mar-20","17-Mar-20","25-Mar-20","25-Mar-20","5-Feb-20","19-Mar-20","20-Apr-20","20-Apr-20","13-May-20",2020-01-20 UTC--2020-03-18 UTC,58,2020-01-20 UTC--2020-03-17 UTC,57,57,91,114,34,57
"51","WY","Wyoming","13-Mar-20","16-Mar-20","19-Mar-20",NA,NA,"11-Mar-20","13-Apr-20","23-Apr-20","1-May-20",NA,2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-19 UTC,59,56,102,NA,46,NA
